t_s	i_a
0.338	-0.0003474048
0.395	-0.0003475091
0.452	-0.0003472588
0.509	-0.0003471546
0.566	-0.000347384
0.623	-0.0003470711
0.679	-0.0003473005
0.736	-0.0003474882
0.792	-0.0003472797
0.849	-0.0003473005
0.906	-0.0003471546
0.963	-0.0003470294
1.019	-0.0003476551
1.076	-0.0003471546
1.133	-0.0003473214
1.190	-0.0003471754
1.247	-0.0003473214
1.303	-0.0003474048
1.360	-0.0003472588
1.417	-0.000347092
1.474	-0.0003472171
1.532	-0.0003471128
1.589	-0.0003473422
1.645	-0.0003468417
1.703	-0.000347238
1.760	-0.0003470503
1.817	-0.000346946
1.874	-0.0003473005
1.931	-0.0003470503
1.987	-0.0003471546
2.044	-0.0003471754
2.101	-0.0003469877
2.158	-0.0003471754
2.214	-0.0003472797
2.271	-0.0003469669
2.328	-0.0003471963
2.385	-0.0003470711
2.441	-0.0003473005
2.498	-0.0003470711
2.555	-0.0003471128
2.611	-0.0003471128
2.668	-0.0003474465
2.725	-0.000347238
2.782	-0.0003469251
2.839	-0.0003470294
2.896	-0.0003471128
2.953	-0.0003471128
3.010	-0.0003477594
3.067	-0.0003471754
3.124	-0.0003469043
3.181	-0.0003470086
3.237	-0.0003471128
3.294	-0.0003476134
3.351	-0.0003474882
3.408	-0.0003464038
3.465	-0.0003470711
3.521	-0.0003471963
3.578	-0.0003471337
3.634	-0.0003472588
3.691	-0.0003470086
3.747	-0.0003471546
3.805	-0.0003473005
3.861	-0.0003471754
3.918	-0.0003471754
3.976	-0.0003469877
4.033	-0.0003473422
4.089	-0.000347092
4.147	-0.0003469877
4.203	-0.0003473422
4.260	-0.0003472588
4.317	-0.0003472171
4.374	-0.0003471337
4.430	-0.0003473005
4.487	-0.0003471754
4.544	-0.0003473214
4.600	-0.0003466957
4.657	-0.0003473005
4.714	-0.0003470711
4.770	-0.0003472171
4.827	-0.0003464872
4.884	-0.0003470086
4.941	-0.000347092
4.998	-0.0003473422
5.054	-0.0003471546
5.112	-0.0003474048
5.169	-0.0003469669
5.225	-0.0003470294
5.283	-0.0003473631
5.340	-0.0003473214
5.396	-0.0003468209
5.453	-0.0003474674
5.510	-0.0003471754
5.567	-0.0003472588
5.624	-0.000347238
5.681	-0.0003471337
5.738	-0.0003469877
5.794	-0.0003471754
5.851	-0.000346946
5.908	-0.0003470503
5.965	-0.000347384
6.022	-0.0003474465
6.079	-0.0003472797
6.136	-0.0003473422
6.193	-0.0003471337
6.251	-0.0003476551
6.308	-0.0003473214
6.364	-0.0003471754
6.422	-0.0003474048
6.479	-0.0003472171
6.536	-0.000347238
6.593	-0.0003468209
6.650	-0.0003469251
6.706	-0.000346946
6.763	-0.0003471128
6.820	-0.0003473422
6.876	-0.0003475717
6.933	-0.0003465915
6.991	-0.0003470294
7.047	-0.000347238
7.104	-0.0003472797
7.161	-0.0003472171
7.218	-0.0003471546
7.274	-0.000347238
7.332	-0.0003473005
7.389	-0.0003473631
7.445	-0.0003466332
7.502	-0.0003475508
7.561	-0.000347238
7.617	-0.0003471128
7.674	-0.000347238
7.732	-0.0003473214
7.788	-0.0003474465
7.845	-0.0003473422
7.902	-0.0003473631
7.959	-0.0003470711
8.016	-0.0003474882
8.073	-0.0003470503
8.130	-0.0003475508
8.187	-0.0003472797
8.243	-0.0003473214
8.300	-0.0003471337
8.357	-0.000347384
8.414	-0.0003471963
8.470	-0.000347092
8.527	-0.0003471546
8.584	-0.0003471337
8.641	-0.000347238
8.698	-0.0003475299
8.755	-0.0003471963
8.811	-0.0003471963
8.869	-0.0003471337
8.925	-0.0003472797
8.982	-0.0003475299
9.040	-0.0003469669
9.097	-0.000347092
9.154	-0.000347384
9.211	-0.0003475925
9.267	-0.0003468
9.324	-0.0003473422
9.381	-0.0003471963
9.437	-0.0003469877
9.494	-0.0003470711
9.551	-0.000347384
9.607	-0.0003466123
9.664	-0.0003471546
9.721	-0.0003471963
9.778	-0.000347092
9.835	-0.0003475299
9.891	-0.0003468834
9.948	-0.0003473422
10.006	-0.0003476968
10.063	-0.0003473214
10.120	-0.0003471337
10.178	-0.0003473631
10.234	-0.0003471546
10.291	-0.0003470294
10.348	-0.000347384
10.405	-0.0003468
10.461	-0.0003473631
10.518	-0.0003471128
10.575	-0.0003470294
10.632	-0.0003472588
10.689	-0.0003470711
10.745	-0.000346946
10.802	-0.0003468417
10.858	-0.0003472797
10.915	-0.0003471754
10.972	-0.000347092
11.028	-0.0003478428
11.085	-0.0003468209
11.142	-0.0003472588
11.199	-0.0003471963
11.256	-0.0003471754
11.313	-0.0003474882
11.371	-0.0003467792
11.428	-0.0003470503
11.485	-0.0003472171
11.542	-0.0003471337
11.599	-0.0003465289
11.656	-0.000347384
11.712	-0.000346946
11.769	-0.0003471546
11.826	-0.000347238
11.882	-0.0003471337
11.939	-0.0003473214
11.996	-0.0003471337
12.053	-0.0003471546
12.110	-0.0003473214
12.166	-0.0003467166
12.223	-0.000347238
12.280	-0.0003473631
12.337	-0.0003474257
12.394	-0.0003473005
12.451	-0.0003470711
